feature,label
"[-121.03860473632812, 109.98062133789062, -11.8268461227417, 11.946348190307617, 5.1476640701293945, 18.805654525756836, 3.976560592651367, 3.181835174560547, 10.114527702331543, 7.146255970001221, 0.8693690299987793, 8.450020790100098, 2.486543655395508]",marah
"[-34.86753463745117, 69.62149047851562, -23.008155822753906, 18.410900115966797, 2.9160830974578857, 21.637454986572266, 0.8926908373832703, 3.7239468097686768, 1.2628064155578613, 8.443470001220703, -8.098389625549316, 10.699506759643555, 4.973598003387451]",marah
"[-40.457969665527344, 68.23493194580078, -24.343280792236328, 22.317214965820312, 6.199677467346191, 34.88326644897461, 4.73840856552124, 5.049622058868408, 3.931192398071289, 5.733980655670166, -1.7777445316314697, 0.17376720905303955, 0.3562347888946533]",marah
"[-61.00281524658203, 48.95411682128906, -26.064828872680664, 25.50825309753418, 10.563735961914062, 37.23511505126953, -3.598468780517578, 8.707707405090332, 6.027868270874023, 3.2115581035614014, -3.6153929233551025, -3.097510576248169, 4.044826507568359]",marah
"[-69.52603912353516, 46.215763092041016, -33.87850570678711, 26.731464385986328, 10.095048904418945, 31.289066314697266, -15.464454650878906, 19.188356399536133, 12.57139778137207, 1.4616543054580688, -8.922103881835938, -4.821224689483643, 3.402841091156006]",marah
"[-83.61030578613281, 48.14547348022461, -17.07025909423828, 21.47287368774414, 11.898616790771484, 24.679601669311523, -7.42974328994751, 17.084339141845703, 11.535107612609863, 1.069467306137085, -7.926456451416016, -3.5297205448150635, -1.3740777969360352]",marah
"[-104.3998031616211, 90.44682312011719, -17.366853713989258, -4.396271705627441, -5.02531099319458, 30.207536697387695, 2.8560032844543457, 7.377287864685059, 4.34745454788208, -2.6447107791900635, 0.4811171293258667, 3.504988670349121, -2.5813307762145996]",marah
"[-140.77207946777344, 110.77526092529297, -7.944821357727051, -4.527448654174805, -7.310114860534668, 28.281639099121094, 14.480302810668945, 4.299376964569092, 0.8272778391838074, 2.9012229442596436, 0.8919326663017273, 2.2622592449188232, -5.938570499420166]",marah
"[-127.93528747558594, 85.49970245361328, -34.542503356933594, 10.44780158996582, 7.551527500152588, 19.140233993530273, 30.006649017333984, 6.71631383895874, 8.288406372070312, 6.583785533905029, -10.871752738952637, 2.1200950145721436, -9.659043312072754]",marah
"[-239.7020263671875, -23.306251525878906, -22.553773880004883, 21.136266708374023, 1.649983525276184, 14.437597274780273, -2.6828131675720215, 10.73101806640625, 7.941400527954102, 12.963042259216309, -8.36274242401123, -1.5409244298934937, 5.105142593383789]",marah
"[-126.44091033935547, 82.2147445678711, -23.3883056640625, 2.2121431827545166, 10.545724868774414, 16.44300079345703, 23.530874252319336, 3.5129048824310303, 6.753249645233154, 14.70622730255127, 0.823306679725647, -0.31769922375679016, -10.178533554077148]",marah
"[-113.35945892333984, 98.69892120361328, -35.47310256958008, -1.4398629665374756, -5.153850078582764, 13.13421630859375, 16.7346134185791, 5.227321147918701, 10.908851623535156, 22.67789077758789, -1.7919842004776, -2.9238603115081787, -12.225079536437988]",marah
"[-91.19178009033203, 88.42662048339844, -26.818490982055664, -6.761231899261475, -14.995454788208008, 16.765949249267578, 6.236331462860107, 15.200636863708496, 16.48970603942871, 17.137083053588867, -5.001702785491943, -6.646766185760498, -10.979391098022461]",marah
"[-112.16215515136719, 62.699493408203125, -8.739544868469238, 11.33060073852539, -8.06930160522461, 23.936439514160156, 0.18156808614730835, 18.747676849365234, 14.145879745483398, 12.559708595275879, -2.9846465587615967, -6.989449501037598, -9.462864875793457]",marah
"[-114.14136505126953, 79.54983520507812, -15.612372398376465, -2.193730592727661, -5.901610851287842, 25.948535919189453, 5.5470476150512695, 16.092695236206055, 12.41856861114502, 12.768112182617188, -0.7967939972877502, -9.601150512695312, -8.007620811462402]",marah
"[-129.05213928222656, 57.80583190917969, -7.443574905395508, 17.31905746459961, 4.463042259216309, 30.350584030151367, 11.172574043273926, 5.405852794647217, -3.2655205726623535, 18.967876434326172, 2.9916725158691406, -7.848612308502197, -9.132676124572754]",marah
"[-142.21189880371094, 17.823272705078125, 7.803479194641113, 45.309791564941406, 28.668155670166016, 24.816495895385742, 1.2226163148880005, 3.819437026977539, -5.000668525695801, 23.705333709716797, -1.2558528184890747, -10.8433256149292, -2.3624424934387207]",marah
"[-145.21759033203125, 23.679964065551758, 4.296910762786865, 46.71464538574219, 12.686785697937012, 25.988874435424805, 9.808348655700684, 7.711874008178711, 1.175694227218628, 14.102139472961426, -0.7188428640365601, -3.654649019241333, -4.264273166656494]",marah
"[-150.5172119140625, 30.2574520111084, -2.6400697231292725, 43.766273498535156, 12.14737319946289, 25.414276123046875, 6.93228006362915, 17.091432571411133, 6.290582656860352, 9.77922534942627, -9.835246086120605, -7.57478141784668, -1.1144264936447144]",marah
"[-138.1299591064453, 22.52906608581543, 1.0084426403045654, 41.09189987182617, 12.459932327270508, 26.696029663085938, 3.683720111846924, 13.509566307067871, 9.321078300476074, 11.283049583435059, -8.126355171203613, -6.361291885375977, -0.824034571647644]",marah
"[-273.88812255859375, 18.433095932006836, -7.067600250244141, 12.153247833251953, 4.363677978515625, 13.2940034866333, 6.225452899932861, -1.4195653200149536, 4.569709777832031, 12.43088150024414, -3.781005859375, 3.884307622909546, 1.2105228900909424]",marah
"[-143.24774169921875, 49.43548583984375, 5.306332111358643, 27.512300491333008, 5.900789737701416, 25.408124923706055, 6.546786785125732, 2.713756561279297, 10.33143424987793, 12.52143669128418, -1.119788646697998, 1.9320412874221802, -3.863690137863159]",marah
"[-119.6795883178711, 71.08883666992188, -2.000262975692749, 26.275426864624023, 5.465998649597168, 21.70172691345215, 10.734830856323242, 4.518986225128174, -0.020487217232584953, 9.194037437438965, -1.3304723501205444, -1.3919072151184082, -1.8714051246643066]",marah
"[-94.97924041748047, 34.31273651123047, -16.279293060302734, 35.08092498779297, 3.860765218734741, 22.52674102783203, 2.696917772293091, 6.595216751098633, 4.683556079864502, 17.607009887695312, 0.9537541270256042, -5.10536003112793, -8.27886962890625]",marah
"[-138.5458221435547, 88.62078857421875, -2.187770128250122, 13.185477256774902, -4.589273452758789, 13.218446731567383, -1.9949322938919067, 4.073911190032959, 2.055154800415039, 4.475055694580078, 6.11979341506958, 6.516254425048828, -2.175281047821045]",marah
"[-153.01609802246094, 116.52027893066406, -3.6460704803466797, 8.05823802947998, -19.455692291259766, 10.682327270507812, 6.211207389831543, 2.525010347366333, 4.78024959564209, -8.72509479522705, 3.3869693279266357, 12.656331062316895, 2.7087724208831787]",marah
"[-93.18574523925781, 120.34300231933594, -15.662344932556152, -3.4788169860839844, -31.191341400146484, 7.2927565574646, -1.2855257987976074, 5.469948768615723, 7.571200370788574, -9.847358703613281, 2.7970707416534424, 7.2607550621032715, 0.5379672646522522]",marah
